B03002,Hispanic or Latino Origin by Race,,,,,
,United States,,Florida,,Miami-Dade County, FL,
,Value,Error,Value,Error,Value,Error
Total:,327167439,0,21299325,0,2761581,0
Not Hispanic or Latino:,267403808,9817,15736873,1369,854451,0
White alone,197033939,19751,11344261,8268,355253,1660
Black or African American alone,40305870,62273,3252558,15957,427194,3949
American Indian and Alaska Native alone,2180266,22071,41492,3700,2032,984
Asian alone,18193513,40343,580229,7923,42283,1726
Native Hawaiian and Other Pacific Islander alone,559945,13255,9694,1547,307,193
Some other race alone,826107,29845,81784,10499,9121,2945
Two or more races:,8304168,79101,426855,16556,18261,3804
Two races including Some other race,322263,13335,23138,3893,1758,618
Two races excluding Some other race, and three or more races,7981905,78703,403717,16145,16503,3697
Hispanic or Latino:,59763631,9816,5562452,1369,1907130,0
White alone,39139081,119807,4555313,35806,1698776,14691
Black or African American alone,1311894,37061,158183,12503,45764,6560
American Indian and Alaska Native alone,621321,26531,18378,5049,3951,3791
Asian alone,221685,13374,13405,2807,2547,1376
Native Hawaiian and Other Pacific Islander alone,66109,8219,3147,1462,54,89
Some other race alone,15427678,127904,626956,32396,126748,13271
Two or more races:,2975863,53682,187070,12678,29290,4579
Two races including Some other race,1364876,33512,75129,8020,12692,3207
Two races excluding Some other race, and three or more races,1610987,32988,111941,10117,16598,3328
